Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
First Year(2024),,,,,,,,,,,,,,,,,
FP 100,Foundation Programme,-,-,-,4,"Sushobhan Sen(I),Yogesh K Meena(I),Siva Chopperla(I),Priyabrata Ghana(I),Madhav Pathak(I),Manisha Padala(I)",,,,,,,,,,,
ES 101,Engineering Graphics,1.5,0,1.5,3,"Sameer Patel(I+L),Kaustubh Rane(L)",,,,"E1
 (Jasubhai Auditorium)",,"N1,N2 (1/101,1/102,7/108,7/109,7/208,7/209,10/104,10/105,10/203,10/204,10/201,10/202)",,,,,
ES 112,Computing,2,0,2,3,"Shouvick Mondal(I+L),Yogesh Meena(I+L)",,,,"F1,F2
 (Jasubhai Auditorium)",,"P1,P2
 (10/104,10/105,10/203,10/204)",Link,,,,
ES 115,"Design, Innovation, and Prototyping",1.5,0,3,5,"Manasi Kanetkar(I+L),Madhu Vadali(L)",,,,"A1
 (Jasubhai Auditorium)",,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (1/101)",,,,,
ES 118,Materials for the Future,1.5,0,1.5,3,Abhijit Mishra(I+L),,,,"E2
 (Jasubhai Auditorium)",,"I1,J1,I2,K2,J2,P2
 (MSE Lab)",,,,,
HS 191,Introduction to Writing I,1,0,3,2,Jooyoung Kim(I+L),,,,"H2
(7/101,7/210,7/103,7/104,7/105,7/106,7/110,7/201,7/204,7/205,7/206,7/207,7/102,7/107)",,"G1,G2 (7/101,7/210,7/103,7/104,7/105,7/106,7/110,7/201,7/204,7/205,7/206,7/207,7/102,7/107)
C1,C2
(7/104,7/105,7/201)",,,,,
MA 103,Calculus of Single Variable and Linear Algebra,3,1.5,0,4,Atul Dixit(I+T),,,,"B1,B2
 (Jasubhai Auditorium)","H1
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205,7/206,7/207)",,,,,,
HS 201,World Civilizations and Cultures,3,0,0,4,"Madhumita Sengupta(I),Sharada Channarayapatna(I),V N Prabhakar(I)",,,,"D1,D2
 (1/101,1/102,10/201)",,,,,,,
PE 101,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 101,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
Second Year(2023),,,,,,,,,,,,,,,,,
ES 243,Biology for Engineers,3,1,0,4,Umashankar Singh(I+T),,,,"G1,G2
 (Jasubhai Auditorium)","H1
(7/102,7/107,7/202,7/203,10/102,7/108,7/109,7/208,7/209)",,,,,,
GE 201,General Education II,3,0,0,2,,,,,"P1,P2
 (10/201)",,,,,,,
PH 202,Introduction to Quantum Physics,3,1,0,4,Prasanna Venkatesh(I+T),,,,"B1,B2
(10/103)","K1
(10/103)",,,,,,
